Project ID,Title,Researchers,Legal Basis,Datasets Used,Secure Research Service,Accreditation Date
2024/021,A Quantitative Analysis of UK Scaleups: How Scaleups Differ from Other Firms and their Barriers to Growth,"Sonali Gupta, ScaleUp Institute",Digital Economy Act (2017),"Office for National Statistics: Annual Business Survey - GB, Business Structure Database - UK
DBT: Small Business Survey - UK, Longitudinal Inter-Departmental Business Register - UK",Office for National Statistics Secure Research Service,20/02/2024
2024/022,The cyclicality of the User Cost of Labor in the UK,"Tiziano Di Biase, University College London",Digital Economy Act (2017),Office for National Statistics: Annual Survey of Hours and Earnings Longitudinal - UK,Office for National Statistics Secure Research Service,20/02/2024
2024/023,Evaluating whether patterns in self-reported changes in behaviour were related to the rate of new infections of COVID-19 in the UK,"Deirdre Hollingsworth, University of Oxford
Li Pi, University of Oxford
Christl Donnelly, University of Oxford",Digital Economy Act (2017),"Office for National Statistics: Opinions and Lifestyle Survey - Great Britain, COVID-19 Vaccine Opinions Survey - England",Office for National Statistics Secure Research Service,20/02/2024
2024/024,"Progression to further study, training and employment of students who leave post-16 education with grades which have “little currency” in their A level qualifications","Timothy Mark Gill, University of Cambridge
Hui Jing Lim, University of Cambridge
Tom Benton, University of Cambridge
Carmen Lucia Vidal Rodeiro, University of Cambridge",Digital Economy Act (2017),"DfE, DWP and HMRC: Longitudinal Education Outcomes SRS Iteration 2 Standard Extract - England",Office for National Statistics Secure Research Service,23/02/2024
2024/025,Understanding the influences on inclusive employment,"Stephen Brammer, University of Bath
Aida Garcia-Lazaro, University of Bath",Digital Economy Act (2017),"Office for National Statistics: Labour Force Survey Person - UK, Labour Force Survey Household - UK, Labour Force Survey Longitudinal - UK",Office for National Statistics Secure Research Service,20/02/2024
2024/026,Supply Chain Risk and Transparency,"Aaron Tang, University College London",Digital Economy Act (2017),"Office for National Statistics, HM Revenue & Customs: Linked Trade-in-Goods/Inter-Departmental Business Register - UK
Office for National Statistics: Business Structure Database - UK, Annual Respondents Database x - UK",Office for National Statistics Secure Research Service,25/03/2024
2024/027,Mortality of immigrants and their descendants in two destination contexts: Using administrative data to compare England and Wales to Norway,"Joseph Harrison, University of St Andrews
Hill Kulu, University of St Andrews
Katherine Keenan, University of St Andrews
Jemima Stockton, University College London",Digital Economy Act (2017),Office for National Statistics: ONS Longitudinal Study - England and Wales,Office for National Statistics Secure Research Service,07/03/2024
2024/028,What can LEO tell us about careers and earning trajectories following Creative Education and in Creative Work?,"Orian Brook, The University of Edinburgh",Digital Economy Act (2017),"DfE, DWP and HMRC: Longitudinal Education Outcomes SRS Iteration 2 Standard Extract - England",Office for National Statistics Secure Research Service,07/03/2024
2024/029,"Understanding how to attract new teachers into the public sector, and whether higher bursaries attract higher quality teachers","Rebecca Rose, London School of Economics",Digital Economy Act (2017),"Institute for Economic and Social Research: Understanding Society - UK
Office for National Statistics: Labour Force Survey Person - UK, Labour Force Survey Longitudinal - UK, Annual Survey of Hours and Earnings Longitudinal - UK",Office for National Statistics Secure Research Service,05/03/2024
2024/030,Firms’ location decision and spatial inequality,"Sergio Inferrera, University of London - Queen Mary",Digital Economy Act (2017),"Office for National Statistics: Annual Business Survey - GB, Business Structure Database - UK, Annual Respondents Database x - UK, Annual Survey of Hours and Earnings - UK, Longitudinal Business Database - UK",Office for National Statistics Secure Research Service,05/03/2024
2024/031,Comparison of earnings for teachers with those of other graduate professional occupations,"Ken Mulkearn, Incomes Data Research",Digital Economy Act (2017),Office for National Statistics: Annual Survey of Hours and Earnings - UK,Office for National Statistics Secure Research Service,05/03/2024
2024/032,How do UK innovative firms protect their IP: Evidence from the UK Innovation Survey,"Umer Ali, Intellectual Property Office
Robert Gallucci, Intellectual Property Office
Charlotte Campbell, Intellectual Property Office",Digital Economy Act (2017),"DBT: UK Innovation Survey
Office for National Statistics: Business Structure Database - UK",Office for National Statistics Secure Research Service,05/03/2024
2024/033,"UK Firms, Productivity, and Value Chains","Mattia Di Ubaldo, University of Sussex
Nicolo Tamberi, University of Sussex
Michael Gasiorek, University of Sussex
Ingo Borchert, University of Sussex
Barry Reilly, University of Sussex
Manuel Tong Koecklin, University of Sussex",Digital Economy Act (2017),"Office for National Statistics: UK Manufacturers’ Sales by Product Survey, Annual Business Survey - GB, Business Enterprise Research and Development - Great Britain, International Trade in Services - UK, E-commerce and Digital Economy Survey - UK, Annual Foreign Direct Investment Survey - UK, Business Register Employment Survey - UK, Business Structure Database - UK
Office for National Statistics, HM Revenue & Customs: Linked Trade-in-Goods/Inter-Departmental Business Register - UK",Office for National Statistics Secure Research Service,05/03/2024
2024/034,Retrospective evaluation of Offshore Renewable Energy (ORE) Catapult 2013-2023,"Priyanka Roychoudhury, Frontier Economics Ltd
Catherine Etienne, Frontier Economics Ltd
Simeon Wentzel, Frontier Economics Ltd
Andrew Leicester, Frontier Economics Ltd",Digital Economy Act (2017),"Office for National Statistics: Business Structure Database - UK, Business Enterprise Research and Development - Great Britain",Office for National Statistics Secure Research Service,25/04/2024
2024/035,Do Retirement Benefits Crowd Out Wages?,"John Gathergood, University of Nottingham
Jesal Dilip Sheth, University of Nottingham
Chris Firth, University of Warwick
Kien Hoang-Le, University of Nottingham
Alejandro Javier Perez Portocarrero, University of Nottingham",Digital Economy Act (2017),"Office for National Statistics: Annual Survey of Hours and Earnings - UK, Monthly Wages and Salary Survey - Great Britain, Business Structure Database - UK",Office for National Statistics Secure Research Service,05/03/2024
2024/038,Local labour markets and skill acquisition,"Tiernan Evans, London School of Economics",Digital Economy Act (2017),"DfE, DWP and HMRC: Longitudinal Education Outcomes SRS Iteration 2 Standard Extract - England
Office for National Statistics: Business Register Employment Survey - UK",Office for National Statistics Secure Research Service,07/03/2024
2024/040,The effects of differences in school leaving ages across the UK,"Luke Sibieta, Education Policy Institute
David Robinson, Education Policy Institute
Shruti Khandekar, Education Policy Institute
Natalie Perera, Education Policy Institute",Digital Economy Act (2017),"Office for National Statistics: Labour Force Survey Household - UK, Labour Force Survey Person - UK
Institute for Economic and Social Research: Understanding Society - UK",Office for National Statistics Secure Research Service,12/03/2024
2024/041,A Cohort Analysis of Sectoral Choice Dynamics,"Clara Von Bismarck-Osten, Institute for Fiscal Studies
Matthew Nibloe, University College London",Digital Economy Act (2017),"DfE, DWP and HMRC: Longitudinal Education Outcomes SRS Iteration 2 Standard Extract - England",Office for National Statistics Secure Research Service,25/03/2024
2024/042,Exploring factors affecting the disability pay gap,,Digital Economy Act (2017),Office for National Statistics: Annual Survey of Hours and Earnings linked to 2011 Census - England and Wales,Office for National Statistics Secure Research Service,25/03/2024
2024/043,Revisiting the raising of the participation age to 18 in England,"Dave Thomson, FFT Education Ltd
Matt Dickson, University of Bath
David Bibby, FFT Education Ltd",Digital Economy Act (2017),"DfE, DWP and HMRC: Longitudinal Education Outcomes SRS Iteration 2 Standard Extract - England",Office for National Statistics Secure Research Service,25/03/2024
2024/044,Regional trade integration and the anti-globalisation backlash,"Philip Schnattinger, Bank of England
Iuliana Nyerges, University of Oxford
Kyriaki Gartzou Katsouyanni, University of Oxford",Digital Economy Act (2017),"Office for National Statistics: Annual Business Survey - GB, Annual Business Inquiry - GB",Office for National Statistics Secure Research Service,25/03/2024
2024/047,Glasgow City Region's Innovation Clusters,"David Boyle, Glasgow City Council
William Harkiss, Glasgow City Council",Digital Economy Act (2017),Office for National Statistics: Business Structure Database - UK,Office for National Statistics Secure Research Service,25/04/2024
2024/048,An impact evaluation of the University Enterprise Zones (UEZs) Programme,"Nadya Mihaylova, Technopolis",Digital Economy Act (2017),"Office for National Statistics: Business Structure Database - UK, Business Enterprise Research and Development - Great Britain",Office for National Statistics Secure Research Service,25/04/2024
2024/052,Migrants in the UK's labour market,"Zovanga Louis Kone, University of Leicester",Digital Economy Act (2017),"Office for National Statistics: Annual Population Survey - UK, Labour Force Survey Person - UK, Labour Force Survey Longitudinal - UK",Office for National Statistics Secure Research Service,02/04/2024
2024/053,What Shapes Firms’ Performance? The Role of Technological and Non-Technological Innovation,"Pei-Yu Yuan, The University of Manchester",Digital Economy Act (2017),Office for National Statistics: Business Structure Database - UK,UK Data Service,02/04/2024
2024/056,Labour market outcomes of high-achieving children from disadvantaged backgrounds,"John Peter Jerrim, University College London",Digital Economy Act (2017),"DfE, DWP and HMRC: Longitudinal Education Outcomes SRS Iteration 2 Standard Extract - England",Office for National Statistics Secure Research Service,03/04/2024
2024/057,The Role of Trade Agreements in Facilitating Digital Trade,"Cindy Jane Justo, University of Sheffield
Enrico Vanino, University of Sheffield",Digital Economy Act (2017),"Office for National Statistics: International Trade in Services - UK, Annual Business Survey - GB, Business Insights and Conditions Survey - UK, E-commerce and Digital Economy Survey - UK, Business Structure Database - UK",Office for National Statistics Secure Research Service,03/04/2024
2024/058,Intervention-level evaluation of the Towns Fund,"Alexander Katz, Frontier Economics Ltd
Vladislava Bar-Katz, Frontier Economics Ltd
Thomas Badger, Frontier Economics Ltd
Priyanka Roychoudhury, Frontier Economics Ltd
Danail Popov, Frontier Economics Ltd
Sarah Snelson, Frontier Economics Ltd
Daleep Singh, Frontier Economics Ltd
Lucy Townley, Department for Levelling Up, Housing and Communities
Veronica Mrvcic, Department for Levelling Up, Housing and Communities
Victoria Sutherland, Centre for Cities
Harriet Olorenshaw, Frontier Economics Ltd",Digital Economy Act (2017),"Office for National Statistics: Business Register Employment Survey - UK, Annual Population Survey - UK, Annual Survey of Hours and Earnings - UK
Institute for Economic and Social Research: Understanding Society - UK",Office for National Statistics Secure Research Service,03/04/2024
2024/060,Children of the 1990s – extending understanding of social mobility in England and Wales,"Emma Gorman, University of Westminster
Jemima Stockton, University College London
Franz Buscha, University of Westminster
Min Zhang, University of Westminster",Digital Economy Act (2017),Office for National Statistics: ONS Longitudinal Study - England and Wales,Office for National Statistics Secure Research Service,25/04/2024
2024/068,"INVEST-STEM: Investigating STEM Readiness, Inclusion, and Economic Returns","Golo Henseke, University College London
Claire Crawford, University College London",Digital Economy Act (2017),"DfE, DWP and HMRC: Longitudinal Education Outcomes SRS Iteration 2 Standard Extract - England",Office for National Statistics Secure Research Service,15/04/2024
2023/308,Wage dynamics across local authorities in UK regions: new insights from a club convergence approach,"Jeisson Cardenas-Rubio, University of Warwick",Digital Economy Act (2017),Office for National Statistics: Annual Survey of Hours and Earnings,UK Data Service,22/12/2023
2024/001,LGBTQ+ population labor market and residential choices,"Marco Manacorda, Queen Mary University of London
Andrea, Giglio, Queen Mary University of London",Digital Economy Act (2017),"Office for National Statistics: Annual Population Survey,
Annual Survey of Hours and Earnings,
Business Structure Database",UK Data Service,26/01/2024
2024/013,The occupational reallocation and earnings dynamics in times of crises,"Peijie Ju, University of Bristol
Helene, Turon, University of Bristol
Patrick, Arni, University of Bristol
Peter Spittal, University of Bristol",Digital Economy Act (2017),"Office for National Statistics:
Annual Survey of Hours and Earnings, Annual Business Survey, Quarterly Labour Force Survey, Labour Force Survey Two-Quarter Longitudinal Dataset, Labour Force Survey Five-Quarter Longitudinal Dataset",UK Data Service,26/01/2024
2024/015,"Access to and economic returns from job-related, non-formal learning in the UK","Sarah Pemberton, University of Cambridge
Sonia Ilie, University of Cambridge",Digital Economy Act (2017),"Office for National Statistics:
Labour Force Survey Two-Quarter Longitudinal Dataset, Labour Force Survey Five-Quarter Longitudinal Dataset",UK Data Service,29/01/2024
2024/036,University attendance and gender role attitudes in UK,"Dipanwita Ghatak, Institute for Social and Economic Research
Alita Nandi, Institute for Social and Economic Research",Digital Economy Act (2017),Office for National Statistics: Quarterly Labour Force Survey,UK Data Service,05/03/2024
2024/037,"Technology, Skills and The Ability To Learn","Lorraine Mackenzie, University of Sussex
Wenchao Jin, Institute of Fiscal Studies",Digital Economy Act (2017),"Office for National Statistics: Annual Survey of Hours and Earnings, Annual Business Survey, National Employer Skills Survey, Workplace Employment Relations Survey",UK Data Service,07/03/2024
2024/050,Impact of labour market constraints on maternal labour supply,"Dipanwita Ghatak, Institute for Social and Economic Research
Alita Nandi, Institute for Social and Economic Research",Digital Economy Act (2017),"Office for National Statistics:
Annual Population Survey Household,
Annual Population Survey,
Quarterly Labour Force Survey,
Business Structure Database,
Labour Force Survey Household Datasets",UK Data Service,02/04/2024
2024/051,Factors of firm performance and survival in the UK,"Sabine D'Costa, University of Westminster
Carolin Ioramashvili, University of Sussex",Digital Economy Act (2017),"Office for National Statistics: Business Structure Database, Annual Business Survey,
DBT: Longitudinal Small Business Survey",UK Data Service,02/04/2024
2024/061,Analysis of survival from blood cancer in the UK and comparable nations,"Ceri Bygrave, Cardiff and Vale University Health Board
Rachel Germine, Digital Health and Care Wales
Kathleen Withers, CEDAR
Sarah Puntoni, Welsh Value in Health Centre
Sally Cox, Digital Health and Care Wales
Ashley Akbari, Swansea University
Rebecca Capel, Digital Health and Care Wales
Joshua Allen, Digital Health and Care Wales",Digital Economy Act (2017),SAIL Databank: Census 2011,SAIL Databank,15/04/2024
2024/067,Labor Market Implications of Automation in the UK,"Martin Labaj, University of Liverpool",Digital Economy Act (2017),"Office for National Statistics: New Earnings Survey, Annual Survey of Hours and Earnings, Labour Force Survey, Quarterly Labour Force Survey, Annual Population Survey",UK Data Service,15/04/2024
2023/222,Next Generation - young people and the social care workforce,"Saoirse Mallorie, King's Fund",Digital Economy Act (2017),"Office for National Statistics: Quarterly Labour Force Survey, Annual Survey of Hours and Earnings",UK Data Service,13/10/2023
2023/233,Impact of area-level supply of psychological therapies on individual-level subjective wellbeing and labour market outcomes,"Igor Francetic, University of Manchester
Joe Dodd, University of Manchester",Digital Economy Act (2017),Office for National Statistics: Annual Population Survey,UK Data Service,11/10/2023
2023/259,Survival prospects of women-led SME businesses,"Louise Rowllings, University of Edinburgh
Galina Andreeva, University of Edinburgh",Digital Economy Act (2017),Office for National Statistics: Longitudinal Small Business Survey,UK Data Service,11/01/2024
2023/274,The Spatial and Distributive Implications of Working-from-home: A General Equilibrium Model,"Morgane Richard, University College London
Vincent Sterk, University College London",Digital Economy Act (2017),Office for National Statistics: Annual Survey of Hours and Earnings,UK Data Service,01/12/2023
2023/276,Agglomeration In the Flexible Working Era: The Micro-location Choices of Co-working Offices,"Melanie Zhang, Northumbria University at Newcastle
Katiuscia Lavoratori, University of Reading
Yi Wu, University of Reading",Digital Economy Act (2017),Office for National Statistics: Business Structure Database,UK Data Service,08/11/2023
2024/019,ADR Wales Social Justice,"Lucy Griffiths, Swansea University
Jane Lyons, Swansea University
Samantha Turner, Swansea University
Rhiannon Owen, Swansea University
Rhodri Johnson, Swansea University
Harri Doel, Swansea University
Ronan Lyons, Swansea University",Digital Economy Act (2017),SAIL Databank: Census 2021,SAIL Databank,01/05/2024
2024/062,Comparison between National Survey for Wales and Census 2021 (Wales) respondents,"Blanka Ignacz, Welsh Government
Silvia Colonna, Welsh Government
Kathryn Helliwell, Welsh Government",Digital Economy Act (2017),SAIL Databank: Census 2021,SAIL Databank,29/04/2024
2024/007,The Impact of Bank Branch Closure on Firms and Households,"Tong You, Imperial College London",Digital Economy Act (2017),"Office for National Statistics:
Annual Survey of Hours and Earnings,
Business Structure Database, Monthly Wages and Salary Survey,
Wealth and Assets Survey",Office for National Statistics Secure Research Service,23/01/2024
2024/039,"Environmental quality, residential mobility, and human capital","Ludovica Gazze, University of Warwick
Lorenzo Neri, University of St Andrews",Digital Economy Act (2017),"Office for National Statistics:
Business Structure Database",Office for National Statistics Secure Research Service,07/03/2024
2024/055,Youth Employment Analysis,"James Merewood, RAND Europe
Ivana Cardamone, RAND Europe
Merrilyn Groom, RAND Europe
Fin Oades, RAND Europe
Anna Brian, RAND Europe
Bhavya Singh, RAND Europe",Digital Economy Act (2017),"Office for National Statistics:
Labour Force Survey Person",Office for National Statistics Secure Research Service,03/04/2024
2024/059,The effect of the COVID19 pandemic on student grade inflation,"Keitaro Ninomiya, University of Illinois Urbana Campaign",Digital Economy Act (2017),UCAS: Universities and Colleges Admissions Service,Office for National Statistics Secure Research Service,03/04/2024
2024/070,The Labour Market Impacts of Brexit,"Nikhil Datta, University of Warwick
Marco Gasperini, University of Oxford
Josh De Lyon, OECD",Digital Economy Act (2017),"Office for National Statistics:
Annual Business Survey,
Annual Respondents
Database 2,
Annual Survey of Hours
and Earnings,
Annual Survey of Hours
and Earnings Longitudinal,
Business Enterprise
Research and
Development ­ Great
Britain,
Business Enterprise
Research and
Development ­ Northern
Ireland,
Business Register
Employment Survey,
Business Structure
Database,
Census 2011 Individual ­
England and Wales,
Census 2011 Individual ­
Northern Ireland,
Census 2011 Individual ­
Scotland,
Consumer and Retail Price
Index,
Labour Force Survey
Longitudinal,
Labour Force Survey
Person,
Quarterly Acquisitions and
Disposals of Capital
Assets Survey,
Quarterly Capital
Expenditure Survey,
Department for Business, Energy & Industrial Strategy:
UK Innovation Survey",Office for National Statistics Secure Research Service,07/05/2024
2023/293,"Births and their Outcome: Analysing the daily, weekly and yearly cycles and their implications for the NHS","Alison McFarlane, City University London",Digital Economy Act (2017),"Office for National Statistics: NN4B, Maternal Deaths Data",Office for National Statistics Secure Research Service,06/12/2023
2024/094,Revealing Social Mobility,"Thomas O'Keeffe, Behavioural Insights Team
Martin Wessel, Behavioural Insights Team
Neus Torres Blas, Behavioural Insights Team
Lilli Wagstaff, Behavioural Insights Team
Mei Chen Liou, Stripe Partners
Mohammad Qamar Uz Zaman, Stripe Partners",Digital Economy Act (2017),"DfE, DWP and HMRC: Longitudinal Education Outcomes SRS Iteration 2 Standard Extract - England",Office for National Statistics Secure Research Service,30/05/2024
2024/123,Analysing social mobility by parliamentary constituency,"Juan Del Pozo Segura, National Foundation for Educational Research
Luke Bocock, National Foundation for Educational Research
Jenna Julius, National Foundation for Educational Research
Neha Agarwal, National Foundation for Educational Research
Sarah Tang, National Foundation for Educational Research
Dawson McLean, National Foundation for Educational Research
Christopher Morton, National Foundation for Educational Research
Ishbelle Norris, National Foundation for Educational Research",Digital Economy Act (2017),"DfE, DWP and HMRC: Longitudinal Education Outcomes SRS Iteration 2 Standard Extract - England",Office for National Statistics Secure Research Service,05/07/2024
2024/124,Trends and policy in health-related benefits,"Tom Waters, Institute for Fiscal Studies
Samuel Ray-Chaudhuri, Institute for Fiscal Studies
Eduin Latimer, Institute for Fiscal Studies",Digital Economy Act (2017),"Office for National Statistics: Labour Force Survey Household - UK, Labour Force Survey Longitudinal - UK, Labour Force Survey Person - UK, Annual Population Survey - UK, Annual Population Survey Longitudinal - UK, Opinions and Lifestyle Survey - Great Britain",Office for National Statistics Secure Research Service,05/07/2024
2024/080,Understanding Labour Market Outcomes for Learners Completing Level 3 Vocational Qualifications in England,"Kevin Mason, Pearson
Sebastian Nastuta, Pearson",Digital Economy Act (2017),"DfE, DWP and HMRC: Longitudinal Education Outcomes SRS Iteration 2 Standard Extract - England",Office for National Statistics Secure Research Service,13/05/2024
2024/077,Describing and understanding the 'gender commuting gap' in linked UK administrative data,"Rachel Elizabeth Scarfe, University of Stirling
Carl Singleton, University of Stirling
Agnese Romiti, University of Strathclyde
Paul Telemo, University of Strathclyde",Digital Economy Act (2017),Office for National Statistics: Annual Survey of Hours and Earnings linked to 2011 Census - England and Wales,Office for National Statistics Secure Research Service,17/05/2024
2024/133,The impact of geopolitical risks on trade flows: Evidence from UK firm-level data,"Michel Serafinelli, University of Essex
Ozgul Bilici, University of Essex",Digital Economy Act (2017),"Office for National Statistics: International Trade in Services - UK, Annual Respondents Database x - UK, Business Structure Database - UK, Business Enterprise Research and Development - Great Britain, Business Enterprise Research and Development - Northern Ireland
DBT: UK Innovation Survey",Office for National Statistics Secure Research Service,10/07/2024
2024/075,Assessing the impacts of publicly funded research and innovation,"Stephen Roper, University of Warwick
Enrico Vanino, University of Sheffield
Serdal Ozusaglam, University of Warwick
Halima Jibril, University of Warwick",Digital Economy Act (2017),"Office for National Statistics: Business Structure Database - UK, Annual Business Survey - GB
DBT: UK Innovation Survey",Office for National Statistics Secure Research Service,13/06/2024
2024/132,Trends in wages and incomes and the impact of the Covid-19 crisis on low income households,"Felicia Odamtten, Resolution Foundation
Karl Handscomb, Resolution Foundation
Louise Murphy, Resolution Foundation
Pablo Shah, Resolution Foundation
Emily Fry, Resolution Foundation
Daniel Tomlinson, Resolution Foundation
Aneurin (Nye) Cominetti, Resolution Foundation
Hannah Slaughter, Resolution Foundation
Molly Broome, Resolution Foundation
Lalitha Try, Resolution Foundation
Krishan Shah, Bank of England
Charles McCurdy, Resolution Foundation
Anna Stansbury, Massachusetts Institute of Technology",Digital Economy Act (2017),"Office for National Statistics: Annual Survey of Hours and Earnings - GB, Business Register Employment Survey - UK, Business Structure Database - UK, Consumer and Retail Price Index - UK, Labour Force Survey Person - UK, Monthly Wages and Salary Survey - Great Britain, Producer Price Index - UK, Wealth and Assets Survey - Great Britain, Labour Force Survey Household - UK, Labour Force Survey Longitudinal - UK, Business Insights and Conditions Survey - UK",Office for National Statistics Secure Research Service,10/07/2024
2024/100,Adult Mental Health Indicators,"Elizabeth Richardson, The University of Edinburgh
Helena Tunstall, The University of Edinburgh",Digital Economy Act (2017),"Office for National Statistics: Annual Population Survey, Wealth and Assets Survey",UK Data Service,31/05/2024
2024/060,Children of the 1990s – extending understanding of social mobility in England and Wales,"Emma Gorman, The University of Westminster
Jemima Stockton, University College London
Franz Buscha, The University of Westminster
Min Zhang, The University of Westminster",Digital Economy Act (2017),Office for National Statistics: ONS Longitudinal Study - England and Wales,Office for National Statistics Secure Research Service,25/04/2024
2024/099,Revolution in Progress: The Rise of Remote Work in the UK,"Emma Duchini, University of Essex",Digital Economy Act (2017),Office for National Statistics: Opinions and Lifestyle Survey - Great Britain,Office for National Statistics Secure Research Service,31/05/2024
2024/116,Evaluating the Driving Electric Revolution Challenge,"Nick Fitzpatrick, Frontier Economics Ltd
Andrew Leicester, Frontier Economics Ltd
Paula Balina Vieites, Frontier Economics Ltd",Digital Economy Act (2017),Office for National Statistics: Business Structure Database - UK,Office for National Statistics Secure Research Service,05/07/2024
2024/096,Insights from Matching the Decision Maker Panel with ONS Inter-Departmental Business Register-Related Surveys,"Gregory Thwaites, Resolution Foundation
Ivan Yotzov, Bank of England
Sami Khan, Bank of England
Lena Sara Anayi, Bank of England
Krishan Shah, Bank of England
Ozgen Ozturk, Bank of England
Paul Mizen, King's College London
Philip Bunn, Bank of England
Craig Menzies, King's College London
Molly Sculthorpe, Bank of England",Digital Economy Act (2017),"Bank of England: Decision Maker Panel - UK
Office for National Statistics: Management and Expectations Survey - Great Britain, Annual Business Survey - GB, Business Enterprise Research and Development - Great Britain, Annual Purchases Survey - UK, Annual Survey of Hours and Earnings - GB, Business Insights and Conditions Survey - UK, Business Register Employment Survey - UK
Office for National Statistics, HM Revenue & Customs: Linked Trade-in-Goods/Inter-Departmental Business Register - UK",Office for National Statistics Secure Research Service,31/05/2024
2024/076,ESCoE: Measuring the contribution of the voluntary sector,"Ciara Crummey, University of Strathclyde
Mairi Spowage, University of Strathclyde",Digital Economy Act (2017),"Office for National Statistics: Labour Force Survey Person - UK, Bespoke National Council for Voluntary Organisation - UK",Office for National Statistics Secure Research Service,22/05/2024
2024/106,"Health impact, process and economic evaluation of selective licensing schemes for private rented housing in England","Jakob Petersen, London School of Hygiene and Tropical Medicine
Alexandros Alexiou, The University of Liverpool
Frank de Vocht, University of Bristol",Digital Economy Act (2017),Office for National Statistics: Annual Population Survey - UK,Office for National Statistics Secure Research Service,05/07/2024
2024/136,"Unpacking returns to vocational education in England: the role of skills, labour market sorting and mobility","Guglielmo Ventura, The London School of Economics and Political Science",Digital Economy Act (2017),"DfE, DWP and HMRC: Longitudinal Education Outcomes SRS Iteration 2 Standard Extract - England",Office for National Statistics Secure Research Service,18/07/2024
2024/014,The impact of youth centres on crime,"Carmen Villa Llera, University of Warwick",Digital Economy Act (2017),Department For Education: Bespoke National Pupil Database extract,Office for National Statistics Secure Research Service,15/07/2024
2024/142,Skills Shortages in the United Kingdom,"Ilhan Guner, The University of Kent",Digital Economy Act (2017),Department For Education: Employer Skills Survey and Investment in Training - UK,Office for National Statistics Secure Research Service,22/07/2024
2024/131,A comparison of the analytical outputs from the ONS Online Time Use Study (OTUS) and Extended Light Digital Diary Instrument (ELiDDI) to understand differences in the data collection methods.,"Jonathan Gershuny, University College London",Digital Economy Act (2017),Office for National Statistics: Online Time Use Survey - Great Britain,Office for National Statistics Secure Research Service,22/07/2024
2024/121,Explaining “Unexplained” Grade Inflation in the UK’s Universities,"Matt Dickson, University of Bath
Judith Delaney, University of Bath
Maria Pia Iocco, University of Bath",Digital Economy Act (2017),"DfE, DWP and HMRC: Longitudinal Education Outcomes SRS Iteration 2 Standard Extract - England",Office for National Statistics Secure Research Service,05/07/2024
2024/081,Innovate UK COVID-19 Funding Response Programme Evaluation,"Scott Carter, Ipsos",Digital Economy Act (2017),"Office for National Statistics: Annual Business Survey - GB, Business Structure Database - UK, Business Enterprise Research and Development - Great Britain, Annual Survey of Hours and Earnings - GB",Office for National Statistics Secure Research Service,13/05/2024
2024/108,The local impact of the UK beer and pub sector,"Jonathan Walker, Oxford Economics Ltd",Digital Economy Act (2017),Office for National Statistics: Annual Business Survey - GB,Office for National Statistics Secure Research Service,06/06/2024
2024/078,"Accompanying project for ""Describing and understanding the 'gender commuting gap' in linked UK administrative data""","Agnese Romiti, University of Strathclyde
Carl Singleton, University of Stirling
Rachel Elizabeth Scarfe, University of Stirling
Paul Telemo, University of Strathclyde",Digital Economy Act (2017),"Office for National Statistics: Annual Survey of Hours and Earnings Longitudinal - UK, New Earnings Survey - Great Britain
DBT: Workplace Employment Relations Survey - Great Britain",Office for National Statistics Secure Research Service,17/05/2024
2024/084,Understanding drivers of socioeconomic disparities in application choices: Evidence from UK universities,"Kartikeya Vira, Massachusetts Institute of Technology",Digital Economy Act (2017),"DfE, DWP and HMRC: Longitudinal Education Outcomes SRS Iteration 2 Standard Extract - England",Office for National Statistics Secure Research Service,13/05/2024
2024/143,Economic Analysis for a Youth Employment Model,"Merrilyn Groom, Rand Europe UK Limited
Ivana Cardamone, Rand Europe UK Limited
Fin Oades, Rand Europe UK Limited
Anna Brian, Rand Europe UK Limited
Bhavya Singh, Rand Europe UK Limited",Digital Economy Act (2017),"DfE, DWP and HMRC: Longitudinal Education Outcomes SRS Iteration 2 Standard Extract - England",Office for National Statistics Secure Research Service,30/07/2024
2024/104,Housing affordability and additional indicators for Indices of Deprivation 2025,"Glen Bramley, Heriot-Watt University",Digital Economy Act (2017),DWP: Family Resources Survey - UK,Office for National Statistics Secure Research Service,05/07/2024
2024/054,"The Impact of Higher Education Expansion on Overeducation, Labour Market Outcomes and Income Distribution in the UK","Zhenlan Yao, University of Dundee
Daniel Borbely, University of Dundee
Ross McKenzie, University of Dundee
Yu Zhu, University of Dundee",Digital Economy Act (2017),"Office for National Statistics: Labour Force Survey Household - UK, Labour Force Survey Longitudinal - UK, Labour Force Survey Person - UK
Institute for Economic and Social Research: Understanding Society - UK",Office for National Statistics Secure Research Service,18/06/2024
2024/119,"Analysis of domestic violence, sexual violence and stalking of older adults (aged 60-74)","Merili Pullerits, University of Durham
Hannah Bows, University of Durham
Iain Brennan, University of Hull",Digital Economy Act (2017),Office for National Statistics: Crime Survey for England and Wales,Office for National Statistics Secure Research Service,01/07/2024
2024/085,Using Past Data to Improve University Admissions,"Shihang Hou, University of Oxford
James Baraniak, University of York",Digital Economy Act (2017),"DfE, DWP and HMRC: Longitudinal Education Outcomes SRS Iteration 2 Standard Extract - England",Office for National Statistics Secure Research Service,13/05/2024
2024/049,BETA TEST: Sociodemographic factors associated with travel to work in 2021: comparisons with 2001 and 2011,"Jemima Stockton, University College London
Oliver Duke-Williams, University College London
Alison Sizer, University College London",Digital Economy Act (2017),Office for National Statistics: ONS Longitudinal Study - England and Wales,Office for National Statistics Secure Research Service,30/07/2024
