Project ID,Record ID,Title,Datasets Used,Accreditation Date,Year,gpt_status,substantive_domains,analytical_purpose,cross_cutting_tags,rationale,validation_error,raw_classification
2025/053,2025/053,Supply Chain Disruptions and the EU-UK TCA,"Office for National Statistics: Annual Business Survey - GB, Annual International Trade in Services - UK, Annual Survey of Hours and Earnings - GB
Office for National Statistics, HM Revenue & Customs: Linked Trade-in-Goods/Inter-Departmental Business Register - UK",2025-03-04,2025,ok,Business & Productivity; Labour Market & Employment,Policy Evaluation / Impact Analysis; Outcome Tracking,,Assigned Business & Productivity and Labour Market & Employment because the title concerns supply-chain disruptions and the EU-UK TCA using trade/business datasets and ASHE earnings data; Policy Evaluation / Impact Analysis and Outcome Tracking because the named EU-UK TCA is a policy/institutional change while supply-chain disruptions are a non-policy exposure; no cross-cutting tag because no demographic-equity or COVID-19 lens is indicated.,,
2025/054,2025/054,Employment journeys of people working in the community care sector,Office for National Statistics: Annual Survey of Hours and Earnings linked to 2011 Census - England and Wales,2025-03-06,2025,ok,Labour Market & Employment; Health & Social Care,Life-Course / Trajectory Analysis,,Assigned Labour Market & Employment and Health & Social Care because the title studies employment journeys of people working in the community care sector using ASHE linked to Census data; Life-Course / Trajectory Analysis because employment journeys imply work histories or transitions over time; no cross-cutting tag because no demographic-equity or COVID-19 lens is indicated.,,
2025/055,2025/055,Pathways of families in Private law proceedings in England and Wales.B138,Ministry of Justice: Data First Family Court - England and Wales,2025-03-05,2025,ok,Crime & Justice,Service Interaction / Systems Analysis,,Assigned Crime & Justice because the title concerns families in private law proceedings and the dataset is Data First Family Court; Service Interaction / Systems Analysis because it studies pathways through family court proceedings; no cross-cutting tag because no demographic-equity or COVID-19 lens is indicated.,,
2025/056,2025/056,The Heterogeneous Impact of Urban Renewal Programmes: Evidence from Tower Block Demolitions Across UK Cities,"Office for National Statistics: Annual Respondents Database x UK, Annual Survey of Hours and Earnings Longitudinal UK, Business Structure Database UK",2025-02-26,2025,ok,Housing & Planning; Labour Market & Employment; Business & Productivity,Policy Evaluation / Impact Analysis,,"Assigned Housing & Planning, Labour Market & Employment and Business & Productivity because the title evaluates urban renewal and tower block demolitions using ASHE worker data and business datasets; Policy Evaluation / Impact Analysis because urban renewal programmes and tower block demolitions are deliberate interventions whose impacts are being estimated; no cross-cutting tag because heterogeneity is not specified as demographic or COVID-related.",,
2025/057,2025/057,Informing Targeted Campaigns for the Construction Industry Research,"DfE, DWP and HMRC: Longitudinal Education Outcomes SRS Iteration 2 Standard Extract - England",2025-02-26,2025,ok,Labour Market & Employment; Education & Skills,Descriptive Monitoring,,"Assigned Labour Market & Employment and Education & Skills because the title concerns targeted campaigns for the construction industry using Longitudinal Education Outcomes data linking education, DWP and HMRC records; Descriptive Monitoring because the visible aim is to inform campaigns by characterising relevant education-to-work patterns rather than evaluating a named intervention; no cross-cutting tag because no demographic-equity or COVID-19 lens is indicated.",,
2025/058,2025/058,Causes and consequences of the growth-capital gap for UK-based scale-up companies: Implications for UK business investment and long-term productivity growth,Bank of England: Decision Maker Panel - UK,2025-02-28,2025,ok,Business & Productivity,Outcome Tracking,,"Assigned Business & Productivity because the title focuses on scale-up companies, growth capital, business investment and productivity growth using the Decision Maker Panel; Outcome Tracking because it examines causes and consequences of the growth-capital gap for firm outcomes; no cross-cutting tag because no demographic-equity or COVID-19 lens is indicated.",,
2025/059,2025/059,Evaluating the Faraday Battery Challenge,Office for National Statistics: Business Structure Database - UK,2025-05-16,2025,ok,Business & Productivity,Policy Evaluation / Impact Analysis,,Assigned Business & Productivity because the title evaluates the Faraday Battery Challenge using the Business Structure Database to study firm-level outcomes; Policy Evaluation / Impact Analysis because the Faraday Battery Challenge is a named programme; no cross-cutting tag because no demographic-equity or COVID-19 lens is indicated.,,
2025/060,2025/060,Nutrition and Food insecurity in older adults of the North UK,"Office for National Statistics: Opinions and Lifestyle Survey, Living Costs and Food Survey",2025-02-28,2025,ok,"Health & Social Care; Poverty, Wealth & Living Standards",Descriptive Monitoring,,"Assigned Health & Social Care and Poverty, Wealth & Living Standards because the title concerns nutrition and food insecurity among older adults and the datasets include Opinions and Lifestyle Survey and Living Costs and Food Survey; Descriptive Monitoring because it appears to measure or profile nutrition and food insecurity; no cross-cutting tag because older adults define the study population rather than an explicit demographic comparison.",,
2025/061,2025/061,"Right place, right time, right support: exploring additional learning needs provision and educational outcomes in Wales",SAIL Databank Databank: Census Wales 2011 & 2021,2025-02-28,2025,ok,Education & Skills,Service Interaction / Systems Analysis; Outcome Tracking,Demographic disparities / equity tag,Assigned Education & Skills because the title focuses on additional learning needs provision and educational outcomes in Wales; Service Interaction / Systems Analysis and Outcome Tracking because it examines provision of educational support and associated educational outcomes; Demographic disparities / equity tag because additional learning needs are an equality-relevant learner group central to the research question.,,
2025/062,2025/062,"Correlates of Key Stage 4 and Key Stage 5 attainment and Higher Education participation, and project qualifications","Qualifications Wales, Department For Education, University and Colleges Admission Service: GRading and Admissions Data England-Ofqual-DfE-UCAS",2025-03-04,2025,ok,Education & Skills,Outcome Tracking,,"Assigned Education & Skills because the title focuses on Key Stage 4 and Key Stage 5 attainment, Higher Education participation and qualifications using DfE/Ofqual/UCAS admissions and grading data; Outcome Tracking because it studies correlates of educational attainment and HE participation; no tag because no demographic or pandemic lens is explicit.",,
2025/063,2025/063,The impact of servitisation of the productivity of UK manufacturing firms,"Office for National Statistics: Annual Respondents Database x - UK, UK Manufacturers Sales by Product Survey",2025-03-10,2025,ok,Business & Productivity,Outcome Tracking,,Assigned Business & Productivity because the title examines productivity of UK manufacturing firms using manufacturing and business datasets; Outcome Tracking because it asks about the impact of firm servitisation on productivity rather than a named policy; no tag because no demographic or pandemic lens is explicit.,,
2025/064,2025/064,Progression from post-16 study for disadvantaged learners,Department for Education: LEO,2025-03-06,2025,ok,Education & Skills,Life-Course / Trajectory Analysis,,Assigned Education & Skills because the title concerns progression from post-16 study for learners using DfE LEO data; Life-Course / Trajectory Analysis because it follows learners’ progression after post-16 education; no tag because disadvantage is not specified as a demographic or equality-group comparison.,,
2025/065,2025/065,Structural variables of the Creative Industries (CI) in the United Kingdom (UK),"Office for National Statistics: Business Structure Database - UK, Annual Business Survey - GB, Labour Force Survey Longitudinal - UK
DBT: UK Innovation Survey",2025-03-04,2025,ok,Business & Productivity,Descriptive Monitoring,,"Assigned Business & Productivity because the title and business, survey and innovation datasets concern the structure of the UK Creative Industries; Descriptive Monitoring because it aims to characterise structural variables of the sector; no tag because no demographic or pandemic lens is explicit.",,
2025/066,2025/066,Internal Migration and the Changing Geographies of Ethnic Diversity and Inequalities in England and Wales,Office for National Statistics: Census 2021 Secure Origin Destination Tables for England and Wales,2025-03-17,2025,ok,Migration & Demographics,Descriptive Monitoring,Demographic disparities / equity tag,Assigned Migration & Demographics because the title centres on internal migration and changing geographies of ethnic diversity using Census origin-destination tables; Descriptive Monitoring because it measures migration patterns and changing population geographies; Demographic disparities / equity tag because ethnic diversity and inequalities are central to the research question.,,
2025/067,2025/067,Kids’ Environment and Health Cohort Phase 1,Office for National Statistics: KIntegrated Data Service Environment Health Cohort Spine,2025-03-13,2025,ok,Health & Social Care; Environment & Agriculture; Data Infrastructure & Methodology,Methodological / Infrastructure Research,,"Assigned Health & Social Care, Environment & Agriculture and Data Infrastructure & Methodology because the title and dataset identify a children’s environment-and-health cohort spine; Methodological / Infrastructure Research because Phase 1 of a cohort spine indicates cohort/data infrastructure development; no tag because no demographic comparison or pandemic lens is explicit.",,
2025/068,2025/068,The impact of board gender diversity of firms' performance,DBT: Longitudinal Small Business Survey - UK,2025-03-05,2025,ok,Business & Productivity,Outcome Tracking,Demographic disparities / equity tag,Assigned Business & Productivity because the title examines firm performance using the Longitudinal Small Business Survey; Outcome Tracking because it links board gender diversity to firm performance; Demographic disparities / equity tag because gender diversity is central to the analytical lens.,,
2025/069,2025/069,Understanding changes in resilience among children and young people,Department For Education: The Second Longitudinal Study of Young People in England,2025-03-07,2025,ok,Health & Social Care,Life-Course / Trajectory Analysis,,"Assigned Health & Social Care because the title focuses on resilience among children and young people, a wellbeing-related outcome, using a longitudinal youth study; Life-Course / Trajectory Analysis because it examines changes in resilience over time; no tag because the age group defines the study population rather than an explicit demographic comparison.",,
2025/070,2025/070,"Ethnic, Gender and Socio-economic Diversity in the Finance Sector","DfE, DWP and HMRC: Longitudinal Education Outcomes SRS Iteration 2 Standard Extract - England",2025-03-07,2025,ok,Labour Market & Employment,Descriptive Monitoring,Demographic disparities / equity tag,"Assigned Labour Market & Employment because the title concerns diversity in the finance sector, indicating workforce composition and sectoral employment, using LEO data; Descriptive Monitoring because it profiles ethnic, gender and socio-economic diversity in the sector; Demographic disparities / equity tag because ethnic and gender diversity are central to the research question.",,
2025/071,2025/071,"NHSE's Health, Work, Prevention and Inequalities (HWPI) programme including Health & Growth Accelerators","Office for National Statistics, HM Revenue & Customs: : Census 2021 attributes - England and Wales with Geography, Death registrations in England and Wales indexed, Emergency Care Data Set monthly in England indexed, Indexed Census 2021, Integrated Data Asset Hospital Episode Statistics, Pay As You Earn Real Time Information in the UK",2025-05-15,2025,ok,Health & Social Care; Labour Market & Employment,Policy Evaluation / Impact Analysis,,"Assigned Health & Social Care and Labour Market & Employment because the title names NHSE’s Health, Work, Prevention and Inequalities programme and datasets include hospital, emergency care, death and PAYE records; Policy Evaluation / Impact Analysis because it concerns a named NHSE programme including Health & Growth Accelerators; no tag because the entry does not specify a central demographic-group comparison or pandemic lens.",,
2025/072,2025/072,Mapping the Northern Ireland Labour Market,Office for National Statistics: Labour Force Survey Person - UK,2025-03-11,2025,ok,Labour Market & Employment,Descriptive Monitoring,,Assigned Labour Market & Employment because the title explicitly maps the Northern Ireland labour market using Labour Force Survey person data; Descriptive Monitoring because “mapping” indicates profiling labour-market patterns rather than evaluating an intervention or testing a specified exposure; no tag because no demographic-equity or COVID-19 lens is stated.,,
2025/073,2025/073,Labour market transformations following technological advancement,"Office for National Statistics: Annual Survey of Hours and Earnings Longitudinal - UK
Office for National Statistics, HM Revenue & Customs: Annual Survey of Hours and Earnings linked to PAYE and Self-Assessment data Great Britain",2025-03-11,2025,ok,Labour Market & Employment,Outcome Tracking,,"Assigned Labour Market & Employment because the title concerns labour market transformations and the datasets cover earnings, PAYE, self-assessment and ASHE employment records; Outcome Tracking because the project examines labour-market changes following technological advancement as a non-policy exposure; no tag because no demographic-equity or COVID-19 lens is stated.",,
2025/074,2025/074,Examining Associations between Disability within the Household and Child Attainment,"Office for National Statistics &
Department for Education: Growing Up in England Wave 1, Growing Up in England Wave 2",2025-03-12,2025,ok,Education & Skills; Health & Social Care,Outcome Tracking,Demographic disparities / equity tag,Assigned Education & Skills and Health & Social Care because the title links household disability to child attainment using Growing Up in England data; Outcome Tracking because it examines associations between disability in the household and later child attainment; Demographic disparities / equity tag because disability is an equality-relevant comparison central to the research question.,,
2025/075,2025/075,Beta test: Evaluating social inequality in longevity,Office for National Statistics: ONS Longitudinal Study - England and Wales,2025-03-28,2025,ok,Health & Social Care,Descriptive Monitoring,,Assigned Health & Social Care because the title focuses on longevity as a mortality/health outcome using the ONS Longitudinal Study; Descriptive Monitoring because it evaluates social inequality in longevity by characterising differences in survival rather than a named intervention; no tag because the stated inequality lens is social rather than a specified demographic or equality-relevant group comparison.,,
2025/076,2025/076,Welsh Electronic Children's Cohort 4,SAIL Databank Databank: Census Wales 2011 & 2021,2025-03-14,2025,ok,Data Infrastructure & Methodology,Methodological / Infrastructure Research,,Assigned Data Infrastructure & Methodology because the title refers to the Welsh Electronic Children's Cohort and the datasets are census inputs to a cohort data asset; Methodological / Infrastructure Research because the register entry is framed around a cohort infrastructure rather than a substantive outcome analysis; no tag because no demographic-equity or COVID-19 lens is stated.,,
2025/077,2025/077,Mode effects and data quality of occupational coding in UK household surveys,Office for National Statistics: Census Non Response Link Study 2021 England and Wales indexed,2025-03-17,2025,ok,Data Infrastructure & Methodology,Methodological / Infrastructure Research,,"Assigned Data Infrastructure & Methodology because the title focuses on mode effects, data quality and occupational coding in household surveys using the Census Non Response Link Study; Methodological / Infrastructure Research because the analytical purpose is to assess survey coding quality and measurement effects; no tag because no demographic-equity or COVID-19 lens is stated.",,
2025/078,2025/078,Production of estimates of investment in intangibles assets: training data using Employer Skills Survey data (ESS),Department For Education: Employer Skills Survey and Investment in Training - UK,2025-03-17,2025,ok,Business & Productivity; Education & Skills,Methodological / Infrastructure Research,,Assigned Business & Productivity and Education & Skills because the title concerns estimating investment in intangible assets through training data from the Employer Skills Survey and Investment in Training dataset; Methodological / Infrastructure Research because the stated purpose is producing estimates from survey data; no tag because no demographic-equity or COVID-19 lens is stated.,,
2025/079,2025/079,"Birth and Beyond: Delivery Modes, Maternal Health, and Child Development in England",NHS; DfE: Education and Child Health Insights from Linked Data - England,2025-03-18,2025,ok,Health & Social Care; Education & Skills,Outcome Tracking,,"Assigned Health & Social Care and Education & Skills because the title studies delivery modes, maternal health and child development using linked NHS and DfE education and child-health data; Outcome Tracking because it links birth and maternal health circumstances to downstream child-development outcomes; no tag because no demographic-equity or COVID-19 lens is stated.",,
2025/080,2025/080,Impact of Non-Tariff Barriers in the Trade and Cooperation Agreement on Trade in Services,"Office for National Statistics: Annual Business Survey - GB, Annual Foreign Direct Investment Survey - UK, Business Structure Database - UK, Annual International Trade in Services - UK, Business Enterprise Research and Development - Great Britain, Producer Price Index - UK",2025-03-28,2025,ok,Business & Productivity,Policy Evaluation / Impact Analysis,,"Assigned Business & Productivity because the title studies trade in services and the datasets include business, foreign direct investment, trade, R&D and price data; Policy Evaluation / Impact Analysis because it examines the impact of non-tariff barriers in the Trade and Cooperation Agreement, a named policy/regulatory change; no tag because no demographic-equity or COVID-19 lens is stated.",,
2025/081,2025/081,Employment Opportunities and Intimate Partner Violence: Evidence from the UK,"Office for National Statistics: Crime Survey for England and Wales, 2011-2020, Crime Survey for England and Wales, 1996-2020, Vacancy Survey, 2005-2024",2025-04-22,2025,ok,Labour Market & Employment; Crime & Justice,Outcome Tracking,,Assigned Labour Market & Employment and Crime & Justice because the title links employment opportunities to intimate partner violence using Vacancy Survey and Crime Survey data; Outcome Tracking because it examines how labour-market opportunities relate to a downstream victimisation outcome; no tag because no demographic-equity or COVID-19 lens is stated.,,
2025/082,2025/082,Understanding innovation amongst UK rural businesses,"Office for National Statistics: Business Structure Database - UK
DBT: Longitudinal Small Business Survey - UK, UK Innovation Survey",2025-03-28,2025,ok,Business & Productivity,Descriptive Monitoring,,Assigned Business & Productivity because the title focuses on innovation amongst UK rural businesses and the datasets are business and innovation surveys; Descriptive Monitoring because the entry indicates understanding/profiling innovation rather than evaluating a named intervention or modelling a specified downstream outcome; no tag because neither COVID-19 nor demographic/equality comparisons are central.,,
2025/083,2025/083,Evaluation of DBT export promotion activities,"Office for National Statistics: Business Structure Database - UK, Annual Business Survey - GB, Annual International Trade in Services - UK
Office for National Statistics, HM Revenue & Customs: Linked Trade-in-Goods/Inter-Departmental Business Register - UK
IPO: Patents, Designs and Trade Marks from
Intellectual Property Office - UK
DBT: UK Innovation Survey",2025-04-07,2025,ok,Business & Productivity,Policy Evaluation / Impact Analysis,,"Assigned Business & Productivity because DBT export promotion activities are analysed using business, trade, patents, and innovation datasets; Policy Evaluation / Impact Analysis because the title explicitly states an evaluation of DBT export promotion activities; no tag because neither COVID-19 nor demographic/equality comparisons are central.",,
2025/084,2025/084,How do pay differentials between the public and private sector affect recruitment and retention of public sector workers?,"Office for National Statistics: Annual Survey of Hours and Earnings - GB, Labour Force Survey Person - UK, Labour Force Survey Longitudinal - UK
Office for National Statistics, HM Revenue & Customs: Annual Survey of Hours and Earnings linked to PAYE and Self-Assessment data Great Britain",2025-04-16,2025,ok,Labour Market & Employment,Outcome Tracking,,"Assigned Labour Market & Employment because the title concerns pay differentials, recruitment, and retention of public sector workers using earnings and labour force datasets; Outcome Tracking because it asks how public-private pay differentials affect downstream recruitment and retention outcomes rather than evaluating a named policy; no tag because no demographic or pandemic lens is central.",,
2025/085,2025/085,Childcare and Maternal Labour Supply,"Office for National Statistics: Labour Force Survey Five-Quarter Longitudinal Dataset, Annual Population Survey, Annual Survey of Hours and Earnings,
Understanding Society: Waves 1-14",2025-03-21,2025,ok,Labour Market & Employment; Education & Skills,Outcome Tracking,,"Assigned Labour Market & Employment and Education & Skills because the title links childcare to maternal labour supply, with childcare treated as the substantive provision and labour supply as the work outcome; Outcome Tracking because it examines the relationship between childcare and downstream maternal labour-market participation; no tag because the entry focuses on mothers’ labour supply rather than a central demographic comparison or COVID-19.",,
2025/086,2025/086,Unveiling Transparency: Understanding the Effects of Gender Pay Gap Reporting Policy in the UK,"Office for National Statistics: Annual Survey of Hours and Earnings, Business Register Employment survey - UK, Business Structure Database",2025-03-24,2025,ok,Labour Market & Employment,Policy Evaluation / Impact Analysis,Demographic disparities / equity tag,Assigned Labour Market & Employment because the project studies gender pay gaps using earnings and employment/business datasets; Policy Evaluation / Impact Analysis because the title asks about the effects of the Gender Pay Gap Reporting Policy in the UK; Demographic disparities / equity tag because gender-based pay differences are central to the research question.,,
2025/087,2025/087,Exploring UK Seafood Consumption for Healthy and Sustainable Diets,Office for National Statistics: Living Costs and Food Survey,2025-08-26,2025,ok,Health & Social Care; Environment & Agriculture,Descriptive Monitoring,,Assigned Health & Social Care and Environment & Agriculture because the title frames UK seafood consumption in terms of healthy and sustainable diets using the Living Costs and Food Survey; Descriptive Monitoring because it appears to explore patterns of seafood consumption rather than evaluate a policy or estimate a specified exposure-outcome effect; no tag because no demographic/equality or COVID-19 lens is central.,,
2025/088,2025/088,Returns in Education in the UK,"Office for National Statistics: Labour Force Survey - Household UK, Labour Force Survey - Longitudinal UK, Labour Force Survey - Person UK",2025-03-27,2025,ok,Education & Skills; Labour Market & Employment,Outcome Tracking,,Assigned Education & Skills and Labour Market & Employment because the title concerns returns to education and uses Labour Force Survey data likely linking education or qualifications to labour-market outcomes; Outcome Tracking because it studies education as an exposure associated with downstream returns; no tag because no demographic/equality or COVID-19 lens is central.,,
2025/089,2025/089,"The geographic distribution of applicants and students of clinical degrees, by ethnicity and socioeconomic background",University and Colleges Admission Service: Universities and Colleges Admissions Service - UK,2025-04-07,2025,ok,Education & Skills,Descriptive Monitoring,Demographic disparities / equity tag,Assigned Education & Skills because the title concerns applicants and students of clinical degrees using UCAS admissions data; Descriptive Monitoring because it measures geographic distributions by ethnicity and socioeconomic background; Demographic disparities / equity tag because ethnicity-based comparison is central to the entry.,,
2025/090,2025/090,Exploring the Link Between Technological Adoption and Exporting Status,"Office for National Statistics: Annual Business Survey, E-Commerce and Digital Economy Survey, Linked Trade-in-Goods/Inter-Departmental Business Register, Longitudinal Small Business Survey",2025-03-28,2025,ok,Business & Productivity,Outcome Tracking,,"Assigned Business & Productivity because the title examines technological adoption and exporting status using business, digital economy, trade, and small business datasets; Outcome Tracking because it analyses the link between a firm condition, technological adoption, and exporting status; no tag because no demographic/equality or COVID-19 lens is central.",,
2025/091,2025/091,Intimate Partner Violence (IPV) victims/survivors' help-seeking of mental healthcare,Office for National Statistics: Crime Survey for England and Wales,2025-03-28,2025,ok,Crime & Justice; Health & Social Care,Service Interaction / Systems Analysis,,Assigned Crime & Justice and Health & Social Care because the title focuses on IPV victims/survivors and their help-seeking for mental healthcare using the Crime Survey for England and Wales; Service Interaction / Systems Analysis because help-seeking for mental healthcare is a service-use pathway; no tag because no demographic/equality comparison or COVID-19 lens is central.,,
2025/092,2025/092,The impacts of Brexit on UK international trade with EU and non-EU countries: A firm-level analysis,"Office for National Statistics, HM Revenue & Customs: Linked Trade-in-Goods/Inter-Departmental Business Register - UK",2025-03-31,2025,ok,Business & Productivity,Policy Evaluation / Impact Analysis,,Assigned Business & Productivity because the title studies Brexit impacts on international trade using firm-level linked trade and business-register data; Policy Evaluation / Impact Analysis because Brexit is the named institutional change whose impacts are being analysed; no cross-cutting tag because neither demographic disparities nor COVID-19 is central.,,
2025/093,2025/093,Transport Innovation and Crimes,"Offcie for National Statistics: Crime Survey for England and Wales 1996 - 2011, Telephone-Operated Crime Survey for England and Wales",2025-04-01,2025,ok,Crime & Justice,Outcome Tracking,,"Assigned Crime & Justice because the title links transport innovation to crimes and the datasets are Crime Survey for England and Wales sources; Outcome Tracking because the project appears to relate a non-policy exposure, transport innovation, to downstream crime outcomes; no cross-cutting tag because no demographic-equity or pandemic lens is indicated.",,
2025/094,2025/094,The long-term impact of school exclusion on risk behaviour: A retrospective cohort study,NHS; DfE: Education and Child Health Insights from Linked Data - England,2025-04-02,2025,ok,Education & Skills; Health & Social Care,Outcome Tracking,,Assigned Education & Skills and Health & Social Care because the title studies school exclusion and later risk behaviour using linked DfE and NHS child-health data; Outcome Tracking because it examines the long-term impact of the school-exclusion exposure on later risk-behaviour outcomes; no cross-cutting tag because no demographic-equity or COVID-19 lens is explicit.,,
2025/095,2025/095,Multi-Industry Dynamic Spatial Competition,"Office for National Statistics: Annual Business Survey, Prices survey Microdata, Living Costs and Food Survey, National Travel Survey",2025-04-03,2025,ok,Business & Productivity,Unclear from Register Entry,,"Assigned Business & Productivity because the title concerns multi-industry dynamic spatial competition and the datasets include the Annual Business Survey and prices microdata; Unclear from Register Entry because the title and datasets do not show whether the analysis is monitoring, causal, evaluative, predictive, or methodological; no cross-cutting tag because no demographic-equity or pandemic lens is indicated.",,
2025/096,2025/096,"Occupations, Labour Income, Volatility, and Equality Statistics","Office for National Statistics: Business Structure Database UK, Longitudinal Small Business Survey UK, UK Innovation Survey",2025-03-28,2025,ok,Labour Market & Employment,Descriptive Monitoring,Demographic disparities / equity tag,"Assigned Labour Market & Employment because the title centres on occupations, labour income, and income volatility; Descriptive Monitoring because it is framed as producing statistics on occupations, labour income, volatility, and equality; Demographic disparities / equity tag because equality statistics are a central part of the stated research focus.",,
2025/097,2025/097,"House prices, productivity, finance to small and mediumsized enterprises, collateral and employment: Evidence from the UK local authority level","Office of National Statistics: Annual Business Survey, Business Register Employment Survey",2025-04-24,2025,ok,Housing & Planning; Business & Productivity; Labour Market & Employment,Outcome Tracking,,"Assigned Housing & Planning, Business & Productivity, and Labour Market & Employment because the title links house prices with SME finance, collateral, productivity, and employment using business and employment survey data; Outcome Tracking because it examines relationships between local house-price and finance conditions and downstream productivity and employment outcomes; no cross-cutting tag because no demographic-equity or pandemic lens is indicated.",,
2025/098,2025/098,The NoRePF Project: Improving maternal and child health and social inequalities for those with no recourse to public funds and irregular immigration status,NHS; DfE: Education and Child Health Insights from Linked Data,2025-04-09,2025,ok,Health & Social Care; Migration & Demographics,Descriptive Monitoring,Demographic disparities / equity tag,Assigned Health & Social Care and Migration & Demographics because the title focuses on maternal and child health and social inequalities among people with no recourse to public funds and irregular immigration status using NHS and DfE linked child-health data; Descriptive Monitoring because it appears to characterise health and social inequalities for this population rather than evaluate a named intervention; Demographic disparities / equity tag because irregular immigration status is central to the comparison lens.,,
2025/099,2025/099,The value of class of degree,"DfE, DWP and HMRC: Longitudinal Education Outcomes SRS Iteration 2 Standard Extract - England",2025-04-15,2025,ok,Education & Skills; Labour Market & Employment,Outcome Tracking,,"Assigned Education & Skills and Labour Market & Employment because the title concerns the value of degree class and the Longitudinal Education Outcomes dataset links education records to DWP and HMRC labour-market outcomes; Outcome Tracking because it relates an educational characteristic, class of degree, to downstream value likely measured through employment or earnings outcomes; no cross-cutting tag because no demographic-equity or pandemic lens is indicated.",,
2025/100,2025/100,Enabling Skills for a Transition to a Green Economy,"Office for National Statistics: Annual Population Survey - UK, Labour Force Survey Person - UK, Annual Survey of Hours and Earnings Longitudinal - UK, Annual Respondents Database x - UK, Annual Business Survey - GB, Business Register Employment Survey - UK, Business Structure Database - UK, E-commerce and Digital Economy Survey - UK
Department For Education: Employer Skills Survey and Investment in Training - UK
Institute for Economic and Social Research: Understanding Society - UK",2025-04-15,2025,ok,Education & Skills; Labour Market & Employment; Environment & Agriculture,Descriptive Monitoring,,"Assigned Education & Skills, Labour Market & Employment, and Environment & Agriculture because the title focuses on skills needed for the transition to a green economy and the datasets cover skills, training, employment, earnings, and business activity; Descriptive Monitoring because the project appears to map or characterise skills and labour-market requirements for the green transition; no cross-cutting tag because no demographic-equity or pandemic lens is indicated.",,
2025/101,2025/101,Family Finances: What difference does cash support for children make?,Office for National Statistics: Annual Population Survey - UK,2025-04-10,2025,ok,"Poverty, Wealth & Living Standards; Public Finance & Taxation",Policy Evaluation / Impact Analysis,,"Assigned Poverty, Wealth & Living Standards and Public Finance & Taxation because the title asks about family finances and cash support for children, a fiscal transfer affecting household resources; Policy Evaluation / Impact Analysis because it asks what difference cash support makes, implying assessment of the effect of a public support intervention; no cross-cutting tag because no demographic-equity or COVID-19 lens is indicated.",,
2025/102,2025/102,The Effects of Corporate Taxes and Financial Frictions on Firm Productivity,Office for National Statistics: Annual Business Survey,2025-04-23,2025,ok,Business & Productivity; Public Finance & Taxation,Outcome Tracking,,"Assigned Business & Productivity and Public Finance & Taxation because the title studies corporate taxes, financial frictions and firm productivity using the Annual Business Survey; Outcome Tracking because it links tax/friction conditions to downstream firm productivity rather than evaluating a named reform; no tag because no demographic-equity or COVID-19 lens is evident.",,
2025/103,2025/103,The Geodemographics of Access to University,University and Colleges Admission Service: Universities and Colleges Admissions Service - UK,2025-05-06,2025,ok,Education & Skills,Descriptive Monitoring,Demographic disparities / equity tag,Assigned Education & Skills because the title concerns access to university and uses UCAS admissions data; Descriptive Monitoring because 'geodemographics of access' indicates profiling the distribution of university access across groups or places; Demographic disparities / equity tag because the geodemographic framing centres demographic variation in access.,,
2025/104,2025/104,"Dissociative seizures in Wales - epidemiology, outcomes and risk stratification",SAIL Databank Databank: Census Wales 2021,2025-04-14,2025,ok,Health & Social Care,Descriptive Monitoring; Risk Prediction / Early Identification,,"Assigned Health & Social Care because the title focuses on dissociative seizures, epidemiology, outcomes and risk stratification in Wales; Descriptive Monitoring and Risk Prediction / Early Identification because it explicitly combines epidemiology with risk stratification; no tag because no demographic-equity or COVID-19 lens is evident.",,
2025/105,2025/105,Quasi-experimental analysis of the impacts of Innovate UKs Business Growth Programme on supported small and medium enterprises,Office for National Statistics: Business Structure Database,2025-04-25,2025,ok,Business & Productivity,Policy Evaluation / Impact Analysis,,Assigned Business & Productivity because the title studies impacts on supported small and medium enterprises using the Business Structure Database; Policy Evaluation / Impact Analysis because it is a quasi-experimental analysis of Innovate UK's Business Growth Programme; no tag because no demographic-equity or COVID-19 lens is evident.,,
2025/106,2025/106,School attendance problems and educational attainment in children with neurodevelopmental conditions (intellectual disability and/or autism).,"Office for National Statistics: Growing Up in England Wave 1, Growing Up in England Wave 2 - Exclusions, Absences and English School Census",2025-04-15,2025,ok,Education & Skills; Health & Social Care,Outcome Tracking,,"Assigned Education & Skills and Health & Social Care because the title links school attendance and educational attainment with neurodevelopmental conditions including intellectual disability and autism, using absences and school census data; Outcome Tracking because it examines how attendance problems and health-related conditions relate to attainment outcomes; no tag because the entry does not explicitly frame a comparison across demographic or equality groups.",,
2025/107,2025/107,Firm Adjustments to Minimum Wages: Role of Labour Market Concentration,"Office for National Statistics: Annual Business Survey, Annual Survey of Hours and Earnings, Business Register Employment Survey, Business Structure Database, Consumer and Retail Price Index, Longitudinal Business Database, Producer Price Index",2025-04-25,2025,ok,Business & Productivity; Labour Market & Employment,Policy Evaluation / Impact Analysis,,Assigned Business & Productivity and Labour Market & Employment because the title studies firm adjustments to minimum wages and labour market concentration using firm and earnings datasets; Policy Evaluation / Impact Analysis because minimum wages are a deliberate labour-market policy whose effects on firms are being analysed; no tag because no demographic-equity or COVID-19 lens is evident.,,
